EventCode,GTPVersion,Description,InformationElement,MessageType
128100,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128101,GTPv1,Out-of-state GTPv1 message,,Echo Request
128102,GTPv1,Out-of-state GTPv1 message,,Echo Response
128103,GTPv1,Out-of-state GTPv1 message,,Version Not Supported
128104,GTPv1,Out-of-state GTPv1 message,,Node Alive Request
128105,GTPv1,Out-of-state GTPv1 message,,Node Alive Response
128106,GTPv1,Out-of-state GTPv1 message,,Redirection Request
128107,GTPv1,Out-of-state GTPv1 message,,Redirection Response
128108,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128109,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12810a,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12810b,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12810c,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12810d,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12810e,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12810f,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128110,GTPv1,Out-of-state GTPv1 message,,Create PDP Context Request
128111,GTPv1,Out-of-state GTPv1 message,,Create PDP Context Response
128112,GTPv1,Out-of-state GTPv1 message,,Update PDP Context Request
128113,GTPv1,Out-of-state GTPv1 message,,Update PDP Context Response
128114,GTPv1,Out-of-state GTPv1 message,,Delete PDP Context Request
128115,GTPv1,Out-of-state GTPv1 message,,Delete PDP Context Response
128116,GTPv1,Out-of-state GTPv1 message,,Initiate PDP Context Activation Request
128117,GTPv1,Out-of-state GTPv1 message,,Initiate PDP Context Activation Response
128118,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128119,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12811a,GTPv1,Out-of-state GTPv1 message,,Error Indication
12811b,GTPv1,Out-of-state GTPv1 message,,PDU Notification Request
12811c,GTPv1,Out-of-state GTPv1 message,,PDU Notification Response
12811d,GTPv1,Out-of-state GTPv1 message,,PDU Notification Reject Request
12811e,GTPv1,Out-of-state GTPv1 message,,PDU Notification Reject Response
12811f,GTPv1,Out-of-state GTPv1 message,,Supported Extension Headers Notification
128120,GTPv1,Out-of-state GTPv1 message,,Send Routeing Information for GPRS Request
128121,GTPv1,Out-of-state GTPv1 message,,Send Routeing Information for GPRS Response
128122,GTPv1,Out-of-state GTPv1 message,,Failure Report Request
128123,GTPv1,Out-of-state GTPv1 message,,Failure Report Response
128124,GTPv1,Out-of-state GTPv1 message,,Note MS GPRS Present Request
128125,GTPv1,Out-of-state GTPv1 message,,Note MS GPRS Present Response
128126,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128127,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128128,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128129,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12812a,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12812b,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12812c,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12812d,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12812e,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12812f,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128130,GTPv1,Out-of-state GTPv1 message,,Identification Request
128131,GTPv1,Out-of-state GTPv1 message,,Identification Response
128132,GTPv1,Out-of-state GTPv1 message,,SGSN Context Request
128133,GTPv1,Out-of-state GTPv1 message,,SGSN Context Response
128134,GTPv1,Out-of-state GTPv1 message,,SGSN Context Acknowledge
128135,GTPv1,Out-of-state GTPv1 message,,Forward Relocation Request
128136,GTPv1,Out-of-state GTPv1 message,,Forward Relocation Response
128137,GTPv1,Out-of-state GTPv1 message,,Forward Relocation Complete
128138,GTPv1,Out-of-state GTPv1 message,,Relocation Cancel Request
128139,GTPv1,Out-of-state GTPv1 message,,Relocation Cancel Response
12813a,GTPv1,Out-of-state GTPv1 message,,Forward SRNS Context
12813b,GTPv1,Out-of-state GTPv1 message,,Forward Relocation Complete Acknowledge
12813c,GTPv1,Out-of-state GTPv1 message,,Forward SRNS Context Acknowledge
12813d,GTPv1,Out-of-state GTPv1 message,,UE Registration Query Request
12813e,GTPv1,Out-of-state GTPv1 message,,UE Registration Query Response
12813f,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128140,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128141,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128142,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128143,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128144,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128145,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128146,GTPv1,Out-of-state GTPv1 message,,RAN Information Relay
128147,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128148,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128149,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12814a,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12814b,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12814c,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12814d,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12814e,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12814f,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
128150,GTPv1,Out-of-state GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
